corrida_id,grupo_calibracion_id,ejecucion,id_prueba,lote,fecha,material,espesor_mm,operacion,velocidad_mm_min,potencia_pct,pasadas,x_mm,y_mm,tamano_celda_mm,area_material_mm2,tiempo_estimado_celda_s
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-001,L02,2026-09-04,MDF Comercial,3.0,grabado,1000,20,1,5.0,0.0,5.0,0.0,18.9
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-002,L02,2026-09-04,MDF Comercial,3.0,grabado,1250,20,1,13.0,0.0,5.0,0.0,15.12
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-003,L02,2026-09-04,MDF Comercial,3.0,grabado,1500,20,1,21.0,0.0,5.0,0.0,12.6
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-004,L02,2026-09-04,MDF Comercial,3.0,grabado,1750,20,1,29.0,0.0,5.0,0.0,10.8
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-005,L02,2026-09-04,MDF Comercial,3.0,grabado,2000,20,1,37.0,0.0,5.0,0.0,9.45
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-006,L02,2026-09-04,MDF Comercial,3.0,grabado,2000,35,1,37.0,8.0,5.0,0.0,9.45
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-007,L02,2026-09-04,MDF Comercial,3.0,grabado,1750,35,1,29.0,8.0,5.0,0.0,10.8
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-008,L02,2026-09-04,MDF Comercial,3.0,grabado,1500,35,1,21.0,8.0,5.0,0.0,12.6
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-009,L02,2026-09-04,MDF Comercial,3.0,grabado,1250,35,1,13.0,8.0,5.0,0.0,15.12
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-010,L02,2026-09-04,MDF Comercial,3.0,grabado,1000,35,1,5.0,8.0,5.0,0.0,18.9
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-011,L02,2026-09-04,MDF Comercial,3.0,grabado,1000,50,1,5.0,16.0,5.0,0.0,18.9
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-012,L02,2026-09-04,MDF Comercial,3.0,grabado,1250,50,1,13.0,16.0,5.0,0.0,15.12
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-013,L02,2026-09-04,MDF Comercial,3.0,grabado,1500,50,1,21.0,16.0,5.0,0.0,12.6
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-014,L02,2026-09-04,MDF Comercial,3.0,grabado,1750,50,1,29.0,16.0,5.0,0.0,10.8
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-015,L02,2026-09-04,MDF Comercial,3.0,grabado,2000,50,1,37.0,16.0,5.0,0.0,9.45
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-016,L02,2026-09-04,MDF Comercial,3.0,grabado,2000,65,1,37.0,24.0,5.0,0.0,9.45
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-017,L02,2026-09-04,MDF Comercial,3.0,grabado,1750,65,1,29.0,24.0,5.0,0.0,10.8
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-018,L02,2026-09-04,MDF Comercial,3.0,grabado,1500,65,1,21.0,24.0,5.0,0.0,12.6
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-019,L02,2026-09-04,MDF Comercial,3.0,grabado,1250,65,1,13.0,24.0,5.0,0.0,15.12
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-020,L02,2026-09-04,MDF Comercial,3.0,grabado,1000,65,1,5.0,24.0,5.0,0.0,18.9
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-021,L02,2026-09-04,MDF Comercial,3.0,grabado,1000,80,1,5.0,32.0,5.0,0.0,18.9
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-022,L02,2026-09-04,MDF Comercial,3.0,grabado,1250,80,1,13.0,32.0,5.0,0.0,15.12
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-023,L02,2026-09-04,MDF Comercial,3.0,grabado,1500,80,1,21.0,32.0,5.0,0.0,12.6
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-024,L02,2026-09-04,MDF Comercial,3.0,grabado,1750,80,1,29.0,32.0,5.0,0.0,10.8
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-025,L02,2026-09-04,MDF Comercial,3.0,grabado,2000,80,1,37.0,32.0,5.0,0.0,9.45
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-026,L02,2026-09-04,MDF Comercial,3.0,grabado,2000,100,1,37.0,40.0,5.0,0.0,9.45
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-027,L02,2026-09-04,MDF Comercial,3.0,grabado,1750,100,1,29.0,40.0,5.0,0.0,10.8
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-028,L02,2026-09-04,MDF Comercial,3.0,grabado,1500,100,1,21.0,40.0,5.0,0.0,12.6
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-029,L02,2026-09-04,MDF Comercial,3.0,grabado,1250,100,1,13.0,40.0,5.0,0.0,15.12
MDF-Comercial_3mm_grabado_2026-09-04_L02,,,G-030,L02,2026-09-04,MDF Comercial,3.0,grabado,1000,100,1,5.0,40.0,5.0,0.0,18.9
