corrida_id,grupo_calibracion_id,ejecucion,id_prueba,lote,fecha,material,espesor_mm,operacion,velocidad_mm_min,potencia_pct,pasadas,x_mm,y_mm,tamano_celda_mm,area_material_mm2,tiempo_estimado_celda_s,corte_pasante,calidad_borde_1a5,carbonizacion_1a5,kwh_corrida_medido,tiempo_real_corrida_s,foto,notas
MDF-Trupan_3mm_corte_2026-09-03_L01,,,C-001,L01,2026-09-03,MDF Trupan,3.0,corte,180,70,2,0.0,0.0,30.0,900.0,96.54,no,5,3,0.04,340,,
MDF-Trupan_3mm_corte_2026-09-03_L01,,,C-002,L01,2026-09-03,MDF Trupan,3.0,corte,210,70,2,38.0,0.0,30.0,900.0,82.75,no,5,5,0.04,340,,
MDF-Trupan_3mm_corte_2026-09-03_L01,,,C-003,L01,2026-09-03,MDF Trupan,3.0,corte,240,70,2,76.0,0.0,30.0,900.0,72.4,no,5,5,0.04,340,,
MDF-Trupan_3mm_corte_2026-09-03_L01,,,C-004,L01,2026-09-03,MDF Trupan,3.0,corte,270,70,2,114.0,0.0,30.0,900.0,64.36,no,5,5,0.04,340,,
MDF-Trupan_3mm_corte_2026-09-03_L01,,,C-005,L01,2026-09-03,MDF Trupan,3.0,corte,300,70,2,152.0,0.0,30.0,900.0,57.92,,,,0.04,340,,NO SE TERMINÓ
MDF-Trupan_3mm_corte_2026-09-03_L01,,,C-006,L01,2026-09-03,MDF Trupan,3.0,corte,300,85,2,152.0,38.0,30.0,900.0,57.92,,,,0.04,340,,NO SE TERMINÓ
MDF-Trupan_3mm_corte_2026-09-03_L01,,,C-007,L01,2026-09-03,MDF Trupan,3.0,corte,270,85,2,114.0,38.0,30.0,900.0,64.36,,,,0.04,340,,NO SE TERMINÓ
MDF-Trupan_3mm_corte_2026-09-03_L01,,,C-008,L01,2026-09-03,MDF Trupan,3.0,corte,240,85,2,76.0,38.0,30.0,900.0,72.4,,,,0.04,340,,NO SE TERMINÓ
MDF-Trupan_3mm_corte_2026-09-03_L01,,,C-009,L01,2026-09-03,MDF Trupan,3.0,corte,210,85,2,38.0,38.0,30.0,900.0,82.75,,,,0.04,340,,NO SE TERMINÓ
MDF-Trupan_3mm_corte_2026-09-03_L01,,,C-010,L01,2026-09-03,MDF Trupan,3.0,corte,180,85,2,0.0,38.0,30.0,900.0,96.54,,,,0.04,340,,NO SE TERMINÓ
MDF-Trupan_3mm_corte_2026-09-03_L01,,,C-011,L01,2026-09-03,MDF Trupan,3.0,corte,180,100,2,0.0,76.0,30.0,900.0,96.54,,,,0.04,340,,NO SE TERMINÓ
MDF-Trupan_3mm_corte_2026-09-03_L01,,,C-012,L01,2026-09-03,MDF Trupan,3.0,corte,210,100,2,38.0,76.0,30.0,900.0,82.75,,,,0.04,340,,NO SE TERMINÓ
MDF-Trupan_3mm_corte_2026-09-03_L01,,,C-013,L01,2026-09-03,MDF Trupan,3.0,corte,240,100,2,76.0,76.0,30.0,900.0,72.4,,,,0.04,340,,NO SE TERMINÓ
MDF-Trupan_3mm_corte_2026-09-03_L01,,,C-014,L01,2026-09-03,MDF Trupan,3.0,corte,270,100,2,114.0,76.0,30.0,900.0,64.36,,,,0.04,340,,NO SE TERMINÓ
MDF-Trupan_3mm_corte_2026-09-03_L01,,,C-015,L01,2026-09-03,MDF Trupan,3.0,corte,300,100,2,152.0,76.0,30.0,900.0,57.92,,,,0.04,340,,NO SE TERMINÓ
