corrida_id,grupo_calibracion_id,ejecucion,id_prueba,lote,fecha,material,espesor_mm,operacion,velocidad_mm_min,potencia_pct,pasadas,x_mm,y_mm,tamano_celda_mm,area_material_mm2,tiempo_estimado_celda_s
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-001,L01,2026-09-04,MDF Trupan,3.0,grabado,1500,20,1,0.0,0.0,7.0,0.0,24.64
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-002,L01,2026-09-04,MDF Trupan,3.0,grabado,2000,20,1,10.0,0.0,7.0,0.0,18.48
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-003,L01,2026-09-04,MDF Trupan,3.0,grabado,2500,20,1,20.0,0.0,7.0,0.0,14.78
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-004,L01,2026-09-04,MDF Trupan,3.0,grabado,3000,20,1,30.0,0.0,7.0,0.0,12.32
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-005,L01,2026-09-04,MDF Trupan,3.0,grabado,3500,20,1,40.0,0.0,7.0,0.0,10.56
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-006,L01,2026-09-04,MDF Trupan,3.0,grabado,3500,35,1,40.0,10.0,7.0,0.0,10.56
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-007,L01,2026-09-04,MDF Trupan,3.0,grabado,3000,35,1,30.0,10.0,7.0,0.0,12.32
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-008,L01,2026-09-04,MDF Trupan,3.0,grabado,2500,35,1,20.0,10.0,7.0,0.0,14.78
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-009,L01,2026-09-04,MDF Trupan,3.0,grabado,2000,35,1,10.0,10.0,7.0,0.0,18.48
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-010,L01,2026-09-04,MDF Trupan,3.0,grabado,1500,35,1,0.0,10.0,7.0,0.0,24.64
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-011,L01,2026-09-04,MDF Trupan,3.0,grabado,1500,50,1,0.0,20.0,7.0,0.0,24.64
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-012,L01,2026-09-04,MDF Trupan,3.0,grabado,2000,50,1,10.0,20.0,7.0,0.0,18.48
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-013,L01,2026-09-04,MDF Trupan,3.0,grabado,2500,50,1,20.0,20.0,7.0,0.0,14.78
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-014,L01,2026-09-04,MDF Trupan,3.0,grabado,3000,50,1,30.0,20.0,7.0,0.0,12.32
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-015,L01,2026-09-04,MDF Trupan,3.0,grabado,3500,50,1,40.0,20.0,7.0,0.0,10.56
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-016,L01,2026-09-04,MDF Trupan,3.0,grabado,3500,65,1,40.0,30.0,7.0,0.0,10.56
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-017,L01,2026-09-04,MDF Trupan,3.0,grabado,3000,65,1,30.0,30.0,7.0,0.0,12.32
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-018,L01,2026-09-04,MDF Trupan,3.0,grabado,2500,65,1,20.0,30.0,7.0,0.0,14.78
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-019,L01,2026-09-04,MDF Trupan,3.0,grabado,2000,65,1,10.0,30.0,7.0,0.0,18.48
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-020,L01,2026-09-04,MDF Trupan,3.0,grabado,1500,65,1,0.0,30.0,7.0,0.0,24.64
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-021,L01,2026-09-04,MDF Trupan,3.0,grabado,1500,80,1,0.0,40.0,7.0,0.0,24.64
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-022,L01,2026-09-04,MDF Trupan,3.0,grabado,2000,80,1,10.0,40.0,7.0,0.0,18.48
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-023,L01,2026-09-04,MDF Trupan,3.0,grabado,2500,80,1,20.0,40.0,7.0,0.0,14.78
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-024,L01,2026-09-04,MDF Trupan,3.0,grabado,3000,80,1,30.0,40.0,7.0,0.0,12.32
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-025,L01,2026-09-04,MDF Trupan,3.0,grabado,3500,80,1,40.0,40.0,7.0,0.0,10.56
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-026,L01,2026-09-04,MDF Trupan,3.0,grabado,3500,100,1,40.0,50.0,7.0,0.0,10.56
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-027,L01,2026-09-04,MDF Trupan,3.0,grabado,3000,100,1,30.0,50.0,7.0,0.0,12.32
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-028,L01,2026-09-04,MDF Trupan,3.0,grabado,2500,100,1,20.0,50.0,7.0,0.0,14.78
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-029,L01,2026-09-04,MDF Trupan,3.0,grabado,2000,100,1,10.0,50.0,7.0,0.0,18.48
MDF-Trupan_3mm_grabado_2026-09-04_L01,,,G-030,L01,2026-09-04,MDF Trupan,3.0,grabado,1500,100,1,0.0,50.0,7.0,0.0,24.64
